path:hsa01100	Metabolic_pathways
path:hsa01110	Biosynthesis_of_secondary_metabolites
path:hsa01120	Microbial_metabolism_in_diverse_environments
path:hsa01130	Biosynthesis_of_antibiotics
path:hsa01200	Carbon_metabolism
path:hsa01210	2-Oxocarboxylic_acid_metabolism
path:hsa01212	Fatty_acid_metabolism
path:hsa01230	Biosynthesis_of_amino_acids
path:hsa01220	Degradation_of_aromatic_compounds
path:hsa00010	Glycolysis_/_Gluconeogenesis
path:hsa00020	Citrate_cycle_(TCA_cycle)
path:hsa00030	Pentose_phosphate_pathway
path:hsa00040	Pentose_and_glucuronate_interconversions
path:hsa00051	Fructose_and_mannose_metabolism
path:hsa00052	Galactose_metabolism
path:hsa00053	Ascorbate_and_aldarate_metabolism
path:hsa00500	Starch_and_sucrose_metabolism
path:hsa00520	Amino_sugar_and_nucleotide_sugar_metabolism
path:hsa00620	Pyruvate_metabolism
path:hsa00630	Glyoxylate_and_dicarboxylate_metabolism
path:hsa00640	Propanoate_metabolism
path:hsa00650	Butanoate_metabolism
path:hsa00660	C5-Branched_dibasic_acid_metabolism
path:hsa00562	Inositol_phosphate_metabolism
path:hsa00190	Oxidative_phosphorylation
path:hsa00195	Photosynthesis
path:hsa00196	Photosynthesis_-_antenna_proteins
path:hsa00710	Carbon_fixation_in_photosynthetic_organisms
path:hsa00720	Carbon_fixation_pathways_in_prokaryotes
path:hsa00680	Methane_metabolism
path:hsa00910	Nitrogen_metabolism
path:hsa00920	Sulfur_metabolism
path:hsa00061	Fatty_acid_biosynthesis
path:hsa00062	Fatty_acid_elongation
path:hsa00071	Fatty_acid_degradation
path:hsa00072	Synthesis_and_degradation_of_ketone_bodies
path:hsa00073	Cutin,_suberine_and_wax_biosynthesis
path:hsa00100	Steroid_biosynthesis
path:hsa00120	Primary_bile_acid_biosynthesis
path:hsa00121	Secondary_bile_acid_biosynthesis
path:hsa00140	Steroid_hormone_biosynthesis
path:hsa00561	Glycerolipid_metabolism
path:hsa00564	Glycerophospholipid_metabolism
path:hsa00565	Ether_lipid_metabolism
path:hsa00600	Sphingolipid_metabolism
path:hsa00590	Arachidonic_acid_metabolism
path:hsa00591	Linoleic_acid_metabolism
path:hsa00592	alpha-Linolenic_acid_metabolism
path:hsa01040	Biosynthesis_of_unsaturated_fatty_acids
path:hsa00230	Purine_metabolism
path:hsa00240	Pyrimidine_metabolism
path:hsa00250	Alanine,_aspartate_and_glutamate_metabolism
path:hsa00260	Glycine,_serine_and_threonine_metabolism
path:hsa00270	Cysteine_and_methionine_metabolism
path:hsa00280	Valine,_leucine_and_isoleucine_degradation
path:hsa00290	Valine,_leucine_and_isoleucine_biosynthesis
path:hsa00300	Lysine_biosynthesis
path:hsa00310	Lysine_degradation
path:hsa00220	Arginine_biosynthesis
path:hsa00330	Arginine_and_proline_metabolism
path:hsa00340	Histidine_metabolism
path:hsa00350	Tyrosine_metabolism
path:hsa00360	Phenylalanine_metabolism
path:hsa00380	Tryptophan_metabolism
path:hsa00400	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis
path:hsa00410	beta-Alanine_metabolism
path:hsa00430	Taurine_and_hypotaurine_metabolism
path:hsa00440	Phosphonate_and_phosphinate_metabolism
path:hsa00450	Selenocompound_metabolism
path:hsa00460	Cyanoamino_acid_metabolism
path:hsa00471	D-Glutamine_and_D-glutamate_metabolism
path:hsa00472	D-Arginine_and_D-ornithine_metabolism
path:hsa00473	D-Alanine_metabolism
path:hsa00480	Glutathione_metabolism
path:hsa00510	N-Glycan_biosynthesis
path:hsa00513	Various_types_of_N-glycan_biosynthesis
path:hsa00512	Mucin_type_O-Glycan_biosynthesis
path:hsa00514	Other_types_of_O-glycan_biosynthesis
path:hsa00532	Glycosaminoglycan_biosynthesis_-_chondroitin_sulfate_/_dermatan_sulfate
path:hsa00534	Glycosaminoglycan_biosynthesis_-_heparan_sulfate_/_heparin
path:hsa00533	Glycosaminoglycan_biosynthesis_-_keratan_sulfate
path:hsa00531	Glycosaminoglycan_degradation
path:hsa00563	Glycosylphosphatidylinositol(GPI)-anchor_biosynthesis
path:hsa00601	Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series
path:hsa00603	Glycosphingolipid_biosynthesis_-_globo_series
path:hsa00604	Glycosphingolipid_biosynthesis_-_ganglio_series
path:hsa00540	Lipopolysaccharide_biosynthesis
path:hsa00550	Peptidoglycan_biosynthesis
path:hsa00511	Other_glycan_degradation
path:hsa00730	Thiamine_metabolism
path:hsa00740	Riboflavin_metabolism
path:hsa00750	Vitamin_B6_metabolism
path:hsa00760	Nicotinate_and_nicotinamide_metabolism
path:hsa00770	Pantothenate_and_CoA_biosynthesis
path:hsa00780	Biotin_metabolism
path:hsa00785	Lipoic_acid_metabolism
path:hsa00790	Folate_biosynthesis
path:hsa00670	One_carbon_pool_by_folate
path:hsa00830	Retinol_metabolism
path:hsa00860	Porphyrin_and_chlorophyll_metabolism
path:hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
path:hsa00900	Terpenoid_backbone_biosynthesis
path:hsa00902	Monoterpenoid_biosynthesis
path:hsa00909	Sesquiterpenoid_and_triterpenoid_biosynthesis
path:hsa00904	Diterpenoid_biosynthesis
path:hsa00906	Carotenoid_biosynthesis
path:hsa00905	Brassinosteroid_biosynthesis
path:hsa00981	Insect_hormone_biosynthesis
path:hsa00908	Zeatin_biosynthesis
path:hsa00903	Limonene_and_pinene_degradation
path:hsa00281	Geraniol_degradation
path:hsa01052	Type_I_polyketide_structures
path:hsa00522	Biosynthesis_of_12-,_14-_and_16-membered_macrolides
path:hsa01051	Biosynthesis_of_ansamycins
path:hsa01056	Biosynthesis_of_type_II_polyketide_backbone
path:hsa01057	Biosynthesis_of_type_II_polyketide_products
path:hsa00253	Tetracycline_biosynthesis
path:hsa00523	Polyketide_sugar_unit_biosynthesis
path:hsa01054	Nonribosomal_peptide_structures
path:hsa01053	Biosynthesis_of_siderophore_group_nonribosomal_peptides
path:hsa01055	Biosynthesis_of_vancomycin_group_antibiotics
path:hsa00940	Phenylpropanoid_biosynthesis
path:hsa00945	Stilbenoid,_diarylheptanoid_and_gingerol_biosynthesis
path:hsa00941	Flavonoid_biosynthesis
path:hsa00944	Flavone_and_flavonol_biosynthesis
path:hsa00942	Anthocyanin_biosynthesis
path:hsa00943	Isoflavonoid_biosynthesis
path:hsa00901	Indole_alkaloid_biosynthesis
path:hsa00403	Indole_diterpene_alkaloid_biosynthesis
path:hsa00950	Isoquinoline_alkaloid_biosynthesis
path:hsa00960	Tropane,_piperidine_and_pyridine_alkaloid_biosynthesis
path:hsa01058	Acridone_alkaloid_biosynthesis
path:hsa00232	Caffeine_metabolism
path:hsa00965	Betalain_biosynthesis
path:hsa00966	Glucosinolate_biosynthesis
path:hsa00402	Benzoxazinoid_biosynthesis
path:hsa00311	Penicillin_and_cephalosporin_biosynthesis
path:hsa00332	Carbapenem_biosynthesis
path:hsa00261	Monobactam_biosynthesis
path:hsa00331	Clavulanic_acid_biosynthesis
path:hsa00521	Streptomycin_biosynthesis
path:hsa00524	Butirosin_and_neomycin_biosynthesis
path:hsa00231	Puromycin_biosynthesis
path:hsa00401	Novobiocin_biosynthesis
path:hsa00254	Aflatoxin_biosynthesis
path:hsa00362	Benzoate_degradation
path:hsa00627	Aminobenzoate_degradation
path:hsa00364	Fluorobenzoate_degradation
path:hsa00625	Chloroalkane_and_chloroalkene_degradation
path:hsa00361	Chlorocyclohexane_and_chlorobenzene_degradation
path:hsa00623	Toluene_degradation
path:hsa00622	Xylene_degradation
path:hsa00633	Nitrotoluene_degradation
