hsa7791	ZYX
hsa10782	ZNF274
hsa64393	ZMAT3
hsa9372	ZFYVE9
hsa9765	ZFYVE16
hsa53349	ZFYVE1
hsa23414	ZFPM2
hsa9839	ZEB2
hsa6935	ZEB1
hsa7709	ZBTB17
hsa7535	ZAP70
hsa51776	ZAK
hsa10971	YWHAQ
hsa10652	YKT6
hsa7525	YES1
hsa10413	YAP1
hsa6375	XCL1
hsa7494	XBP1
hsa25937	WWTR1
hsa23286	WWC1
hsa126374	WTIP
hsa7475	WNT6
hsa7474	WNT5A
hsa51384	WNT16
hsa26100	WIPI2
hsa11197	WIF1
hsa7466	WFS1
hsa494551	WEE2
hsa57599	WDR48
hsa10810	WASF3
hsa10163	WASF2
hsa7454	WAS
hsa10490	VTI1B
hsa81671	VMP1
hsa7431	VIM
hsa7428	VHL
hsa7424	VEGFC
hsa7415	VCP
hsa7414	VCL
hsa7412	VCAM1
hsa10451	VAV3
hsa7408	VASP
hsa57216	VANGL2
hsa8673	VAMP8
hsa9341	VAMP3
hsa7405	UVRAG
hsa2837	UTS2R
hsa7398	USP1
hsa81605	URM1
hsa137970	UNC5D
hsa9706	ULK2
hsa8408	ULK1
hsa79465	ULBP3
hsa10720	UGT2B11
hsa10941	UGT2A1
hsa54576	UGT1A8
hsa7353	UFD1L
hsa7350	UCP1
hsa29089	UBE2T
hsa7332	UBE2L3
hsa7329	UBE2I
hsa7316	UBC
hsa7314	UBB
hsa7317	UBA1
hsa102724594	U2AF1L5
hsa7306	TYRP1
hsa7305	TYROBP
hsa7299	TYR
hsa114112	TXNRD3
hsa10587	TXNRD2
hsa10628	TXNIP
hsa117581	TWIST2
hsa10383	TUBB4B
hsa10382	TUBB4A
hsa10381	TUBB3
hsa112714	TUBA3E
hsa113457	TUBA3D
hsa10376	TUBA1B
hsa7272	TTK
hsa9675	TTI1
hsa8458	TTF2
hsa7270	TTF1
hsa706	TSPO
hsa7253	TSHR
hsa7248	TSC1
hsa7442	TRPV1
hsa54795	TRPM4
hsa7220	TRPC1
hsa9322	TRIP10
hsa131405	TRIM71
hsa7706	TRIM25
hsa9618	TRAF4
hsa7185	TRAF1
hsa8717	TRADD
hsa7171	TPM4
hsa219931	TPCN2
hsa7161	TP73
hsa8626	TP63
hsa58476	TP53INP2
hsa9540	TP53I3
hsa7159	TP53BP2
hsa63970	TP53AIP1
hsa7157	TP53
hsa7156	TOP3A
hsa10452	TOMM40
hsa7148	TNXB
hsa7139	TNNT2
hsa7137	TNNI3
hsa7125	TNNC2
hsa8744	TNFSF9
hsa944	TNFSF8
hsa7292	TNFSF4
hsa8995	TNFSF18
hsa8740	TNFSF14
hsa10673	TNFSF13B
hsa8741	TNFSF13
hsa8742	TNFSF12
hsa8600	TNFSF11
hsa8743	TNFSF10
hsa3604	TNFRSF9
hsa943	TNFRSF8
hsa8771	TNFRSF6B
hsa7293	TNFRSF4
hsa8784	TNFRSF18
hsa608	TNFRSF17
hsa8764	TNFRSF14
hsa115650	TNFRSF13C
hsa23495	TNFRSF13B
hsa51330	TNFRSF12A
hsa4982	TNFRSF11B
hsa8792	TNFRSF11A
hsa8793	TNFRSF10D
hsa7128	TNFAIP3
hsa7124	TNF
hsa3371	TNC
hsa7114	TMSB4X
hsa10333	TLR6
hsa7100	TLR5
hsa7097	TLR2
hsa7094	TLN1
hsa7082	TJP1
hsa114609	TIRAP
hsa7078	TIMP3
hsa7076	TIMP1
hsa201633	TIGIT
hsa353376	TICAM2
hsa148022	TICAM1
hsa7070	THY1
hsa7067	THRA
Thiazolidinediones)	Thiazolidinediones)
hsa117145	THEM4
hsa7052	TGM2
hsa7046	TGFBR1
hsa7042	TGFB2
hsa7040	TGFB1
hsa7038	TG
hsa7037	TFRC
hsa10342	TFG
hsa7027	TFDP1
hsa7023	TFAP4
hsa7018	TF
hsa7015	TERT
hsa7012	TERC
hsa9894	TELO2
hsa7004	TEAD4
hsa7003	TEAD1
hsa9623	TCL1B
hsa10312	TCIRG1
hsa6929	TCF3
hsa6923	TCEB2
hsa6921	TCEB1
hsa6926	TBX3
hsa30009	TBX21
hsa9519	TBPL1
hsa6907	TBL1X
hsa9755	TBKBP1
hsa29110	TBK1
hsa107080638	TBC1D7-LOC100130357
hsa9882	TBC1D4
hsa23216	TBC1D1
hsa51347	TAOK3
hsa9344	TAOK2
hsa10010	TANK
hsa10454	TAB1
hsa134860	TAAR9
hsa6850	SYK
hsa258010	SVIP
hsa22987	SV2C
hsa9899	SV2B
hsa9900	SV2A
hsa55578	SUPT20H
hsa6822	SULT2A1
hsa10910	SUGT1
hsa51684	SUFU
hsa56670	SUCNR1
hsa9482	STX8
hsa10228	STX6
hsa112755	STX1B
hsa55014	STX17
hsa55437	STRADB
hsa3925	STMN1
hsa6789	STK4
hsa6788	STK3
hsa6794	STK11
hsa10963	STIP1
hsa57620	STIM2
hsa55240	STEAP3
hsa6774	STAT3
hsa6772	STAT1
hsa10254	STAM2
hsa10735	STAG2
hsa10274	STAG1
hsa117178	SSX2IP
hsa54434	SSH1
hsa10929	SRSF8
hsa9901	SRGAP3
hsa23380	SRGAP2
hsa57522	SRGAP1
hsa6722	SRF
hsa6720	SREBF1
hsa8878	SQSTM1
hsa6709	SPTAN1
hsa6708	SPTA1
hsa10253	SPRY2
hsa339745	SPOPL
hsa6688	SPI1
hsa56848	SPHK2
hsa441272	SPDYE3
hsa100310812	SPDYE2B
hsa100505767	SPDYE18
hsa102723849	SPDYE17
hsa102723555	SPDYE16
hsa100996746	SPDYE11
hsa221178	SPATA13
hsa6662	SOX9
hsa6659	SOX4
hsa6657	SOX2
hsa64321	SOX17
hsa50964	SOST
hsa6654	SOS1
hsa10580	SORBS1
hsa6648	SOD2
hsa6647	SOD1
hsa30837	SOCS7
hsa9306	SOCS6
hsa9655	SOCS5
hsa122809	SOCS4
hsa8835	SOCS2
hsa22938	SNW1
hsa9342	SNAP29
hsa6591	SNAI2
hsa6615	SNAI1
hsa64750	SMURF2
hsa57154	SMURF1
hsa6608	SMO
hsa9126	SMC3
hsa27127	SMC1B
hsa8243	SMC1A
hsa4091	SMAD6
hsa4089	SMAD4
hsa4087	SMAD2
hsa4086	SMAD1
hsa9748	SLK
hsa9353	SLIT2
hsa6585	SLIT1
hsa10599	SLCO1B1
hsa6548	SLC9A1
hsa6543	SLC8A2
hsa8140	SLC7A5
hsa6541	SLC7A1
hsa85414	SLC45A3
hsa6520	SLC3A2
hsa153129	SLC38A9
hsa10568	SLC34A2
hsa6517	SLC2A4
hsa6514	SLC2A2
hsa6513	SLC2A1
hsa10999	SLC27A4
hsa376497	SLC27A1
hsa6506	SLC1A2
hsa6502	SKP2
hsa6500	SKP1
hsa8631	SKAP1
hsa23411	SIRT1
hsa10326	SIRPB1
hsa57568	SIPA1L2
hsa26037	SIPA1L1
hsa6494	SIPA1
hsa25942	SIN3A
hsa6614	SIGLEC1
hsa6477	SIAH1
hsa8036	SHOC2
hsa51246	SHISA5
hsa25759	SHC2
hsa51100	SH3GLB1
hsa6452	SH3BP2
hsa9047	SH2D2A
hsa117157	SH2D1B
hsa4068	SH2D1A
hsa10019	SH2B3
hsa10603	SH2B2
hsa151648	SGOL1
hsa10110	SGK2
hsa6446	SGK1
hsa6422	SFRP1
hsa2810	SFN
hsa80854	SETD7
hsa143686	SESN3
hsa5176	SERPINF1
hsa5054	SERPINE1
hsa5268	SERPINB5
hsa5414	SEPT4
hsa59343	SENP2
hsa8482	SEMA7A
hsa10505	SEMA4F
hsa10507	SEMA4D
hsa10509	SEMA4B
hsa9723	SEMA3E
hsa10512	SEMA3C
hsa10371	SEMA3A
hsa6404	SELPLG
hsa6403	SELP
hsa6402	SELL
hsa6401	SELE
hsa22872	SEC31A
hsa9871	SEC24D
hsa9632	SEC24C
hsa10427	SEC24B
hsa10802	SEC24A
hsa10483	SEC23B
hsa10484	SEC23A
hsa9554	SEC22B
hsa6383	SDC2
hsa6382	SDC1
hsa6344	SCTR
hsa23513	SCRIB
hsa6342	SCP2
hsa6324	SCN1B
hsa79966	SCD5
hsa6319	SCD
hsa60485	SAV1
hsa51128	SAR1B
hsa1903	S1PR3
hsa1901	S1PR1
hsa6261	RYR1
hsa6259	RYK
hsa6258	RXRG
hsa6257	RXRB
hsa6256	RXRA
hsa122042	RXFP2
hsa8607	RUVBL1
hsa862	RUNX1T1
hsa861	RUNX1
hsa9711	RUBCN
hsa50484	RRM2B
hsa6241	RRM2
hsa22800	RRAS2
hsa58528	RRAGD
hsa10325	RRAGB
hsa10670	RRAGA
hsa6198	RPS6KB1
hsa27330	RPS6KA6
hsa9252	RPS6KA5
hsa8986	RPS6KA4
hsa6194	RPS6
hsa56475	RPRM
hsa29935	RPA4
hsa6097	RORC
hsa6095	RORA
hsa9475	ROCK2
hsa6093	ROCK1
hsa64221	ROBO3
hsa6092	ROBO2
hsa6091	ROBO1
hsa220441	RNF152
hsa27289	RND1
hsa116028	RMI2
hsa80010	RMI1
hsa11035	RIPK3
hsa8737	RIPK1
hsa9610	RIN1
hsa9699	RIMS2
hsa253260	RICTOR
hsa23433	RHOQ
hsa29984	RHOD
hsa387	RHOA
hsa6009	RHEB
hsa5998	RGS3
hsa5997	RGS2
hsa10636	RGS14
hsa5863	RGL2
hsa23179	RGL1
hsa64326	RFWD2
hsa5979	RET
hsa5978	REST
hsa5966	REL
hsa8434	RECK
hsa9985	REC8
hsa5962	RDX
hsa25898	RCHY1
hsa10231	RCAN2
hsa1827	RCAN1
hsa9978	RBX1
hsa11317	RBPJL
hsa5933	RBL1
hsa10616	RBCK1
hsa9821	RB1CC1
hsa5925	RB1
hsa166824	RASSF6
hsa83593	RASSF5
hsa11186	RASSF1
hsa115727	RASGRP4
hsa10235	RASGRP2
hsa10125	RASGRP1
hsa5923	RASGRF1
hsa9462	RASAL2
hsa100271927	RASA4B
hsa10156	RASA4
hsa22821	RASA3
hsa5915	RARB
hsa51735	RAPGEF6
hsa9771	RAPGEF5
hsa11069	RAPGEF4
hsa10411	RAPGEF3
hsa9693	RAPGEF2
hsa2889	RAPGEF1
hsa5909	RAP1GAP
hsa5906	RAP1A
hsa10268	RAMP3
hsa10266	RAMP2
hsa10267	RAMP1
hsa5900	RALGDS
hsa10928	RALBP1
hsa5899	RALB
hsa5898	RALA
hsa5896	RAG1
hsa135250	RAET1E
hsa5889	RAD51C
hsa5888	RAD51
hsa5885	RAD21
hsa10399	RACK1
hsa5881	RAC3
hsa5880	RAC2
hsa5879	RAC1
hsa4218	RAB8A
hsa5868	RAB5A
hsa5864	RAB3A
hsa83452	RAB33B
hsa10890	RAB10
hsa5834	PYGB
hsa107181291	PYDC5
hsa5829	PXN
hsa81607	PVRL4
hsa25945	PVRL3
hsa5817	PVR
hsa10744	PTTG2
hsa5797	PTPRM
