kegg_id,symbol
cpd:C02165 cpd:C14776,C02165...
cpd:C15493,C15493
cpd:C14767 cpd:C14762,C14767...
hsa:9894,"TELO2, CLK2, TEL2, YHFS"
hsa:57697,"FANCM, FAAP250, KIAA1596, POF15, SPGF28"
hsa:2177,"FANCD2, FA-D2, FA4, FACD, FAD, FAD2, FANCD"
hsa:675,"BRCA2, BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11"
hsa:545,"ATR, FCTCS, FRP1, MEC1, SCKL, SCKL1"
hsa:22909,"FAN1, KIAA1018, KMIN, MTMR15, hFAN1"
hsa:83990,"BRIP1, BACH1, FANCJ, OF"
hsa:91442,"FAAP24, C19orf40"
hsa:2768 hsa:55970,"GNA12, HG1M1, NNX3, RMP, gep..."
hsa:9693,"RAPGEF2, CNrasGEF, NRAPGEP, PDZ-GEF1, PDZGEF1, RA-GEF, RA-GEF-1, RAGEF, Rap-GEP, nRap_GEP"
hsa:5923 hsa:5924,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1..."
hsa:10125 hsa:10235 hsa:115727 hsa:25780,"RASGRP1, CALDAG-GEFI, CALDAG-GEFII, IMD64, RASGRP..."
hsa:5906 hsa:5908,"RAP1A, C21KG, G-22K, KREV-1, KREV1, RAP1, SMGP21..."
hsa:7124,"TNF, DIF, IMD127, TNF-alpha, TNFA, TNFSF2, TNLG1F"
hsa:3552 hsa:3553,"IL1A, IL-1_alpha, IL-1A, IL1, IL1-ALPHA, IL1F1..."
hsa:356,"FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A"
hsa:7040 hsa:7042 hsa:7043,"TGFB1, CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta..."
hsa:355,"FAS, ALPS1A, APO-1, APT1, CD95, FAS1, FASTM, TNFRSF6"
hsa:7046 hsa:7048,"TGFBR1, AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I..."
hsa:2885,"GRB2, ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2"
hsa:6654 hsa:6655,"SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1..."
hsa:23118,"TAB2, CHTD2, MAP3K7IP2, TAB-2"
hsa:51295,"ECSIT, SITPEC"
hsa:6722,"SRF, MCM1"
hsa:8649,"LAMTOR3, MAP2K1IP1, MAPBP, MAPKSP1, MP1, PRO0633, Ragulator3"
hsa:5594 hsa:5595,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK..."
hsa:23542 hsa:9479,"MAPK8IP2, IB-2, IB2, JIP2, PRKM8IPL..."
hsa:5599 hsa:5601 hsa:5602,"MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c..."
hsa:6416,"MAP2K4, JNKK, JNKK1, MAPKK4, MEK4, MKK4, PRKMK4, SAPKK-1, SAPKK1, SEK1, SERK1, SKK1"
hsa:5609,"MAP2K7, JNKK2, MAPKK7, MEK, MEK_7, MKK7, PRKMK7, SAPKK-4, SAPKK4"
hsa:23162,"MAPK8IP3, JIP-3, JIP3, JSAP1, NEDBA, SYD2, syd"
hsa:4296,"MAP3K11, MEKK11, MLK-3, MLK3, PTK1, SPRK"
hsa:5566 hsa:5567 hsa:5568,"PRKACA, CAFD1, PKACA, PPNAD4..."
hsa:5578 hsa:5579 hsa:5582,"PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA..."
hsa:22800 hsa:22808 hsa:3265 hsa:3845 hsa:4893 hsa:6237,"RRAS2, NS12, TC21..."
hsa:673,"BRAF, B-RAF1, B-raf, BRAF-1, BRAF1, NS7, RAFB1"
hsa:5894,"RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf"
hsa:5604,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1"
hsa:5605,"MAP2K2, CFC4, MAPKK2, MEK2, MKK2, PRKMK2"
hsa:2872 hsa:8569,"MKNK2, GPRK7, MNK2..."
hsa:27330 hsa:6195 hsa:6196 hsa:6197,"RPS6KA6, PP90RSK4, RSK-4, RSK4, S6K-alpha-6, p90RSK6..."
hsa:5879 hsa:5880 hsa:5881 hsa:998,"RAC1, MIG5, MRD48, Rac-1, TC-25, p21-Rac1..."
hsa:836,"CASP3, CPP32, CPP32B, SCA-1"
hsa:7186,"TRAF2, MGC:45012, RNF117, TRAP, TRAP3"
hsa:1616,"DAXX, BING2, DAP6, EAP1, SMIM40"
hsa:10912 hsa:1647 hsa:4616,"GADD45G, CR6, DDIT2, GADD45gamma, GRP17..."
hsa:5058 hsa:5062,"PAK1, IDDMSSD, PAKalpha, alpha-PAK, p65-PAK..."
hsa:11184,"MAP4K1, HPK1"
hsa:9448,"MAP4K4, FLH21957, HEL-S-31, HGK, MEKKK4, NIK"
hsa:8491,"MAP4K3, GLK, MAPKKKK3, MEKKK_3, MEKKK3, RAB8IPL1"
hsa:7786 hsa:9175,"MAP3K12, DLK, HP09298, MEKK12, MUK, ZPK, ZPKP1..."
hsa:4293 hsa:4294 hsa:84451,"MAP3K9, MEKK9, MLK1, PRKE1..."
hsa:51776,"MAP3K20, AZK, CNM6, MLK7, MLT, MLTK, MLTKalpha, MLTKbeta, MRK, SFMMP, ZAK, mlklak, pk"
hsa:4217,"MAP3K5, ASK1, MAPKKK5, MEKK5"
hsa:6885,"MAP3K7, CSCF, FMD2, MEKK7, TAK1, TGF1a"
hsa:9064,"MAP3K6, ASK2, MAPKKK6, MEKK6"
hsa:5606,"MAP2K3, MAPKK3, MEK3, MKK3, PRKMK3, SAPKK-2, SAPKK2"
hsa:5608,"MAP2K6, MAPKK6, MEK6, MKK6, PRKMK6, SAPKK-3, SAPKK3"
hsa:1432 hsa:5600 hsa:5603 hsa:6300,"MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA..."
hsa:8550,"MAPKAPK5, MAPKAP-K5, MK-5, MK5, NCFD, PRAK"
hsa:7867 hsa:9261,"MAPKAPK3, 3PK, MAPKAP-K3, MAPKAP3, MAPKAPK-3, MDPT3, MK-3, MK3..."
hsa:8986 hsa:9252,"RPS6KA4, MSK2, RSK-B, S6K-alpha-4..."
hsa:5607,"MAP2K5, HsT17454, MAPKK5, MEK5, PRKMK5"
hsa:5598,"MAPK7, BMK1, ERK4, ERK5, PRKM7"
hsa:1326,"MAP3K8, AURA2, COT, EST, ESTF, MEKK8, TPL2, Tpl-2, c-COT"
hsa:4214,"MAP3K1, MAPKKK1, MEKK, MEKK_1, MEKK1, SRXY6"
hsa:5530 hsa:5532 hsa:5533 hsa:5534 hsa:5535,"PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B..."
hsa:10000 hsa:207 hsa:208,"AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2..."
hsa:5922,"RASA2, GAP1M"
hsa:4763,"NF1, NFNS, VRNF, WSS"
hsa:5921,"RASA1, CM-AVM, CMAVM, CMAVM1, GAP, PKWS, RASA, RASGAP, p120, p120GAP, p120RASGAP"
hsa:1845 hsa:5778 hsa:5801 hsa:84867,"DUSP3, VHR..."
hsa:11221 hsa:1843 hsa:1844 hsa:1846 hsa:1847 hsa:1848 hsa:1849 hsa:1850 hsa:1852 hsa:80824,"DUSP10, MKP-5, MKP5..."
hsa:11221 hsa:1844 hsa:1846 hsa:1847 hsa:1849 hsa:1850 hsa:1852 hsa:80824,"DUSP10, MKP-5, MKP5..."
hsa:5494,"PPM1A, PP2C-ALPHA, PP2CA, PP2Calpha"
hsa:5536,"PPP5C, PP5, PPP5, PPT"
hsa:5495,"PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX"
hsa:2122,"MECOM, AML1-EVI-1, EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3, RUSAT2"
hsa:3303 hsa:3304 hsa:3305 hsa:3310 hsa:3312,"HSPA1A, HEL-S-103, HSP70, HSP70-1, HSP70-1A, HSP70-2, HSP70.1, HSP70.2, HSP70I, HSP72, HSPA1..."
hsa:929,CD14
hsa:9020,"MAP3K14, FTDCR1B, HS, HSNIK, IMD112, NIK"
hsa:1147 hsa:3551 hsa:8517,"CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16..."
hsa:10368 hsa:10369 hsa:27091 hsa:27092 hsa:55799 hsa:59283 hsa:59284 hsa:59285 hsa:773 hsa:774 hsa:775 hsa:776 hsa:777 hsa:778 hsa:779 hsa:781 hsa:782 hsa:783 hsa:784 hsa:785 hsa:786 hsa:8911 hsa:8912 hsa:8913 hsa:9254 hsa:93589,CACNG3...
cpd:C00338,C00338
cpd:C00575,C00575
cpd:C00165,C00165
hsa:10454,"TAB1, 3'-Tab1, MAP3K7IP1"
hsa:7132,"TNFRSF1A, CD120a, FPF, TBP1, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR55, TNFR60, p55, p55-R, p60"
hsa:8717,"TRADD, Hs.89862"
hsa:3554 hsa:3556,"IL1R1, CD121A, CRMO3, D2S1473, IL-1R-alpha, IL-1RT1, IL1R, IL1RA, P80..."
hsa:4615,"MYD88, IMD68, MYD88D, WM1"
hsa:3654 hsa:51135,"IRAK1, IRAK, pelle..."
hsa:7189,"TRAF6, MGC:3310, RNF85"
hsa:125467750 hsa:1435 hsa:1942 hsa:1943 hsa:1944 hsa:1945 hsa:1946 hsa:1950 hsa:2069 hsa:2246 hsa:2247 hsa:2248 hsa:2249 hsa:2250 hsa:2251 hsa:2252 hsa:2253 hsa:2254 hsa:2255 hsa:2277 hsa:2323 hsa:26281 hsa:26291 hsa:2668 hsa:27006 hsa:284 hsa:285 hsa:3082 hsa:3479 hsa:3481 hsa:3630 hsa:374 hsa:4254 hsa:4803 hsa:4902 hsa:4908 hsa:4909 hsa:51378 hsa:5154 hsa:5155 hsa:5228 hsa:56034 hsa:5623 hsa:627 hsa:7039 hsa:7422 hsa:7423 hsa:7424 hsa:80310 hsa:8074 hsa:8817 hsa:8822 hsa:8823 hsa:9048 hsa:9965,EFNA4-EFNA3...
hsa:369,"ARAF, A-RAF, ARAF1, PKS2, RAFA1"
hsa:4216,"MAP3K4, MAPKKK4, MEKK_4, MEKK4, MTK1, PRO0412"
hsa:51347 hsa:57551 hsa:9344,"TAOK3, DPK, JIK, MAP3K18, hKFC-A..."
hsa:5335 hsa:5336,"PLCG1, IDAA, NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1..."
hsa:110117499 hsa:5290 hsa:5291 hsa:5293 hsa:5295 hsa:5296 hsa:8503,"P3R3URF-PIK3R3, LOC110117498-PIK3R3..."
hsa:1950,"EGF, HOMG4, URG"
hsa:7039,"TGFA, TFGA"
hsa:374,"AREG, AR, AREGB, CRDGF, SDGF"
hsa:685,BTC
hsa:1839,"HBEGF, DTR, DTS, DTSF, HEGFL"
hsa:2069,"EREG, EPR, ER, Ep"
hsa:3084,"NRG1, ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF, NRG1-IT2, SMDF"
hsa:9542,"NRG2, DON1, HRG2, NTAK"
hsa:10718,"NRG3, HRG3, pro-NRG3"
hsa:145957,"NRG4, HRG4"
hsa:1956,"EGFR, ERBB, ERBB1, ERRP, HER1, NISBD2, NNCIS, PIG61, mENA"
hsa:2065,"ERBB3, ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3"
hsa:6714,"SRC, ASV, SRC1, THC6, c-SRC, p60-Src"
hsa:1398 hsa:1399,"CRK, CRKII, p38..."
hsa:4690 hsa:8440,"NCK1, NCK, NCKalpha, nck-1..."
hsa:10298 hsa:106821730 hsa:5058 hsa:5062 hsa:5063 hsa:56924 hsa:57144,PAK4...
hsa:5609 hsa:6416,"MAP2K7, JNKK2, MAPKK7, MEK, MEK_7, MKK7, PRKMK7, SAPKK-4, SAPKK4..."
hsa:25759 hsa:399694 hsa:53358 hsa:6464,"SHC2, SCK, SHCB, SLI..."
hsa:3265 hsa:3845 hsa:4893,"HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras..."
hsa:369 hsa:5894 hsa:673,"ARAF, A-RAF, ARAF1, PKS2, RAFA1..."
hsa:5604 hsa:5605,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1..."
hsa:2066,"ERBB4, ALS19, HER4, p180erbB4"
hsa:2549,"GAB1, DFNB26"
hsa:2475,"MTOR, FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS"
