node1,node2,hsa_id_node1,hsa_id_node2,coexpression_score
CANX,CFTR,hsa:821,hsa:1080,0
CFTR,HSPB1,hsa:1080,hsa:3315,0
CFTR,DERL1,hsa:1080,hsa:79139,0
CFTR,STX1A,hsa:1080,hsa:6804,0
CFTR,HSP90AA1,hsa:1080,hsa:3320 hsa:3326 hsa:7184,0
CFTR,FLNA,hsa:1080,hsa:2316,0
CFTR,SQSTM1,hsa:1080,hsa:8878,0
CFTR,RAB5A,hsa:1080,hsa:5868,0
CFTR,NEDD4,hsa:1080,hsa:4734,0
CBL,CFTR,hsa:867 hsa:868,hsa:1080,0
CFTR,PRKAA1,hsa:1080,hsa:5562 hsa:5563,42
CFTR,HSPA4,hsa:1080,hsa:3308,0
CFTR,VCP,hsa:1080,hsa:7415,0
CFTR,RAB11A,hsa:1080,hsa:8766,0
CFTR,UBE2I,hsa:1080,hsa:7329,0
CFTR,EZR,hsa:1080,hsa:7430,0
ACTB,CFTR,hsa:60 hsa:71,hsa:1080,0
CFTR,HDAC6,hsa:1080,hsa:10013 hsa:10014 hsa:3065 hsa:3066 hsa:51564 hsa:55869 hsa:79885 hsa:83933 hsa:8841 hsa:9734 hsa:9759,0
CFTR,NHERF1,hsa:1080,hsa:9368,0
PLD1,RALA,hsa:5337 hsa:5338,hsa:5898,42
RALA,RALBP1,hsa:5898,hsa:10928,60
HRAS,RALA,hsa:3265,hsa:5898,42
EXOC2,RALA,hsa:55770,hsa:5898,50
CX3CL1,ITGB3,hsa:6376,hsa:3690,0
CX3CL1,GNA11,hsa:6376,hsa:2767 hsa:2776,0
CX3CL1,GNAI1,hsa:6376,hsa:2770 hsa:2771 hsa:2773 hsa:2775,0
CX3CL1,CX3CR1,hsa:6376,hsa:1524,0
CRY1,CSNK1D,hsa:1407 hsa:1408,hsa:1453,42
BMAL1,CRY1,hsa:406,hsa:1407 hsa:1408,49
CRY1,CUL1,hsa:1407 hsa:1408,hsa:8454,49
CRY1,FOXO1,hsa:1407 hsa:1408,hsa:2308,49
CRY1,PER1,hsa:1407 hsa:1408,hsa:5187 hsa:8863 hsa:8864,49
CRY1,PER2,hsa:1407 hsa:1408,hsa:8864,48
CD44,CD74,hsa:960,hsa:972,67
CD74,HLA-DMA,hsa:972,hsa:3108 hsa:3109 hsa:3111 hsa:3112 hsa:3113 hsa:3115 hsa:3117 hsa:3118 hsa:3119 hsa:3120 hsa:3122 hsa:3123 hsa:3125 hsa:3126 hsa:3127,611
CCR5,CD4,hsa:1234,hsa:920 hsa:925 hsa:926 hsa:927,197
CD4,CXCR4,hsa:920 hsa:925 hsa:926 hsa:927,hsa:7852,83
CD3E,CD4,hsa:916,hsa:920 hsa:925 hsa:926 hsa:927,413
CD4,PLAT,hsa:920 hsa:925 hsa:926 hsa:927,hsa:5327,0
PPP5C,STIP1,hsa:5536,hsa:10963,169
HSP90AA1,PPP5C,hsa:3320 hsa:3326 hsa:7184,hsa:5536,82
MAPT,PPP5C,hsa:4137,hsa:5536,42
GNAS,SCTR,hsa:2778,hsa:6344,0
SCT,SCTR,hsa:6343,hsa:6344,48
HDAC1,SNAI2,hsa:3065 hsa:3066,hsa:6591,0
GSK3B,SNAI2,hsa:2932,hsa:6591,0
MDM2,SNAI2,hsa:4193 hsa:4194,hsa:6591,0
RB1CC1,ULK1,hsa:9821,hsa:8408,70
ATG5,RB1CC1,hsa:9474,hsa:9821,104
RB1CC1,TP53,hsa:9821,hsa:7157,0
ATG12,RB1CC1,hsa:9140,hsa:9821,70
ATG16L1,RB1CC1,hsa:55054,hsa:9821,0
C9orf72,RB1CC1,hsa:203228,hsa:9821,74
GABARAP,RB1CC1,hsa:11337 hsa:11345 hsa:23710,hsa:9821,0
ATG14,RB1CC1,hsa:22863,hsa:9821,117
OPTN,RB1CC1,hsa:10133,hsa:9821,74
NRBF2,RB1CC1,hsa:29982,hsa:9821,63
CALCOCO2,RB1CC1,hsa:10241,hsa:9821,49
RB1CC1,TBK1,hsa:9821,hsa:29110,242
RB1CC1,VAPB,hsa:9821,hsa:9217,42
ATG101,RB1CC1,hsa:60673,hsa:9821,0
ATG13,RB1CC1,hsa:9776,hsa:9821,49
LAT,LCP2,hsa:27040 hsa:7462,hsa:3937,137
ITK,LCP2,hsa:3702 hsa:7294,hsa:3937,310
LCP2,TYROBP,hsa:3937,hsa:7305,425
LCP2,NCK2,hsa:3937,hsa:8440,44
EGFR,LCP2,hsa:1956 hsa:2260 hsa:3480 hsa:4233 hsa:5156 hsa:5159,hsa:3937,42
GRAP2,LCP2,hsa:9402,hsa:3937,179
LCP2,PTPN6,hsa:3937,hsa:5777 hsa:5781,217
LCP2,PTPRC,hsa:3937,hsa:5788,733
LCP2,PLCG1,hsa:3937,hsa:5335,42
GRB2,LCP2,hsa:2885,hsa:3937,73
LCP2,SPI1,hsa:3937,hsa:6688,419
LCP2,NCK1,hsa:3937,hsa:4690,58
LCP2,ZAP70,hsa:3937,hsa:7535,210
CSF2RB,LCP2,hsa:1439 hsa:149233 hsa:2057 hsa:3454 hsa:3455 hsa:3459 hsa:3460 hsa:3559 hsa:3560 hsa:3561 hsa:3563 hsa:3566 hsa:3568 hsa:3570 hsa:3572 hsa:3575 hsa:3594 hsa:3595 hsa:3597 hsa:3601,hsa:3937,422
CBL,LCP2,hsa:867 hsa:868,hsa:3937,49
ITGB2,LCP2,hsa:3689,hsa:3937,425
DCN,PDGFRA,hsa:1634,hsa:5156,720
DCN,EGFR,hsa:1634,hsa:1956 hsa:2260 hsa:3480 hsa:4233 hsa:5156 hsa:5159,83
DCN,LUM,hsa:1634,hsa:4060,781
DCN,TGFB1,hsa:1634,hsa:7040 hsa:7042,0
TNFRSF13B,TNFRSF17,hsa:23495,hsa:608,419
CD79A,TNFRSF17,hsa:973,hsa:608,429
TNFRSF17,TNFSF13B,hsa:608,hsa:10673,56
CD38,TNFRSF17,hsa:952,hsa:608,428
PRKN,TNFRSF17,hsa:5071,hsa:608,0
HSPA5,UTS2,hsa:3309,hsa:10911 hsa:257313,634
CALR,RCN1,hsa:811,hsa:1827,74
RCN1,VCP,hsa:1827,hsa:7415,49
GNA11,TBXA2R,hsa:2767 hsa:2776,hsa:6915,42
GNA11,RGS3,hsa:2767 hsa:2776,hsa:5998,56
CD19,CD22,hsa:930,hsa:933,521
CD22,CD79B,hsa:933,hsa:974,446
CD22,PTPN6,hsa:933,hsa:5777 hsa:5781,75
BLK,CD22,hsa:640,hsa:933,535
CD22,LYN,hsa:933,hsa:4067 hsa:6714,62
CD22,PTPRC,hsa:933,hsa:5788,86
CD22,GRB2,hsa:933,hsa:2885,0
CD22,CD79A,hsa:933,hsa:973,501
CD22,FCER2,hsa:933,hsa:2208,443
CD22,SYK,hsa:933,hsa:6850,73
CD22,CD72,hsa:933,hsa:971,478
CD22,CXCR5,hsa:933,hsa:643,453
KCNQ1,NEDD4L,hsa:3784 hsa:9992,hsa:23327,0
OTUD5,TRAF3,hsa:55593,hsa:7187 hsa:7188,60
OTUD5,WIPI2,hsa:55593,hsa:26100 hsa:55062,460
OTUD5,TP53,hsa:55593,hsa:7157,42
OTUD5,RPS27A,hsa:55593,hsa:6233 hsa:7311 hsa:7314 hsa:7316,0
OTUD5,UBC,hsa:55593,hsa:7316,0
EZR,ICAM3,hsa:7430,hsa:3385,42
ICAM3,MSN,hsa:3385,hsa:4478,82
ICAM3,ITGAL,hsa:3385,hsa:3683,158
TNFRSF1A,TRAF1,hsa:7132 hsa:7133,hsa:7185 hsa:7186 hsa:7187 hsa:7188 hsa:7189 hsa:9618,0
BID,TNFRSF1A,hsa:637,hsa:7132 hsa:7133,48
CASP8,TNFRSF1A,hsa:841 hsa:843,hsa:7132 hsa:7133,42
CASP10,TNFRSF1A,hsa:843,hsa:7132 hsa:7133,42
LTA,TNFRSF1A,hsa:4049 hsa:7124,hsa:7132 hsa:7133,0
BIRC2,TNFRSF1A,hsa:329 hsa:330 hsa:331,hsa:7132 hsa:7133,0
SRC,TNFRSF1A,hsa:6714,hsa:7132 hsa:7133,44
CYLD,TNFRSF1A,hsa:1540,hsa:7132 hsa:7133,0
TNFRSF1A,TNIP1,hsa:7132 hsa:7133,hsa:10318,65
HTRA2,TNFRSF1A,hsa:27429,hsa:7132 hsa:7133,44
JAK2,TNFRSF1A,hsa:3717,hsa:7132 hsa:7133,43
