node1,node2,hsa_id_node1,hsa_id_node2,coexpression_score
RAB6A,RALA,,hsa:5898,411
CACNG3,HTR5A,,hsa:3361,423
RPAP3,TFAM,,hsa:7019,445
NFYB,RPAP3,hsa:4801,,455
CAMP,PGLYRP1,hsa:820,,764
CD74,HLA-DMA,hsa:972,hsa:3108 hsa:3109 hsa:3111 hsa:3112 hsa:3113 hsa:3115 hsa:3117 hsa:3118 hsa:3119 hsa:3120 hsa:3122 hsa:3123 hsa:3125 hsa:3126 hsa:3127,611
CD74,HLA-DMB,hsa:972,,524
CD74,HLA-DPA1,hsa:972,,776
CD74,HLA-DRA,hsa:972,,775
CD3E,CD4,hsa:916,hsa:920 hsa:925 hsa:926 hsa:927,413
PPP5C,USP5,hsa:5536,,746
GTF3C5,PPP5C,,hsa:5536,437
PPP5C,PSMD3,hsa:5536,,477
FRMD6,SNAI2,,hsa:6591,419
RB1CC1,UBE3A,hsa:9821,,453
BOD1L1,ROCK1,,hsa:6093,472
PSMA4,STIP1,,hsa:10963,459
PSMA4,RUVBL1,,hsa:8607,465
EEF2,PSMA4,hsa:1938,,427
EIF2S1,PSMA4,hsa:1965,,521
HSPA4,PSMA4,hsa:3308,,447
PSMA4,RACK1,,hsa:10399,464
PSMA4,RCN2,,hsa:10231,428
HSP90AA1,PSMA4,hsa:3320 hsa:3326 hsa:7184,,433
EEF1A1,PSMA4,hsa:1915 hsa:1917,,428
LAPTM5,LCP2,,hsa:3937,478
ARHGAP15,LCP2,,hsa:3937,433
HCLS1,LCP2,,hsa:3937,457
LCP2,TYROBP,hsa:3937,hsa:7305,425
ARHGAP25,LCP2,,hsa:3937,467
LCP2,SLA,hsa:3937,,414
LCP2,PTPRC,hsa:3937,hsa:5788,733
CYTIP,LCP2,,hsa:3937,418
AIF1,LCP2,,hsa:3937,422
LCP2,NCF4,hsa:3937,,407
LCP2,PARVG,hsa:3937,,432
CD53,LCP2,,hsa:3937,689
FYB1,LCP2,,hsa:3937,507
CD300A,LCP2,,hsa:3937,420
LCP2,SPI1,hsa:3937,hsa:6688,419
