node1,node2,hsa_id_node1,hsa_id_node2,coexpression_score
CD74,HLA-DMA,hsa:972,hsa:3108 hsa:3109 hsa:3111 hsa:3112 hsa:3113 hsa:3115 hsa:3117 hsa:3118 hsa:3119 hsa:3120 hsa:3122 hsa:3123 hsa:3125 hsa:3126 hsa:3127,611
CD3E,CD4,hsa:916,hsa:920 hsa:925 hsa:926 hsa:927,413
LCP2,TYROBP,hsa:3937,hsa:7305,425
LCP2,PTPRC,hsa:3937,hsa:5788,733
LCP2,SPI1,hsa:3937,hsa:6688,419
CSF2RB,LCP2,hsa:1439 hsa:149233 hsa:2057 hsa:3454 hsa:3455 hsa:3459 hsa:3460 hsa:3559 hsa:3560 hsa:3561 hsa:3563 hsa:3566 hsa:3568 hsa:3570 hsa:3572 hsa:3575 hsa:3594 hsa:3595 hsa:3597 hsa:3601,hsa:3937,422
ITGB2,LCP2,hsa:3689,hsa:3937,425
DCN,PDGFRA,hsa:1634,hsa:5156,720
DCN,LUM,hsa:1634,hsa:4060,781
TNFRSF13B,TNFRSF17,hsa:23495,hsa:608,419
CD79A,TNFRSF17,hsa:973,hsa:608,429
CD38,TNFRSF17,hsa:952,hsa:608,428
HSPA5,UTS2,hsa:3309,hsa:10911 hsa:257313,634
CD19,CD22,hsa:930,hsa:933,521
CD22,CD79B,hsa:933,hsa:974,446
BLK,CD22,hsa:640,hsa:933,535
CD22,CD79A,hsa:933,hsa:973,501
CD22,FCER2,hsa:933,hsa:2208,443
CD22,CD72,hsa:933,hsa:971,478
CD22,CXCR5,hsa:933,hsa:643,453
OTUD5,WIPI2,hsa:55593,hsa:26100 hsa:55062,460
LTBR,TNFRSF1A,hsa:4055,hsa:7132 hsa:7133,414
GZMB,TBX21,hsa:3002,hsa:30009,477
FASLG,TBX21,hsa:356,hsa:30009,488
IL2RB,TBX21,hsa:3560 hsa:3561,hsa:30009,446
COL1A1,FAP,hsa:1277 hsa:1278,hsa:11146,461
JUN,PPP1R15A,hsa:3725 hsa:5599 hsa:5601 hsa:5602,hsa:23645,478
DUSP1,PPP1R15A,hsa:1843,hsa:23645,427
FOSB,PPP1R15A,hsa:2354,hsa:23645,487
CDC6,CDK1,hsa:990,hsa:983,467
CDC6,RAD51,hsa:990,hsa:5888,478
CCNB1,CDC6,hsa:891,hsa:990,414
BUB1,CDC6,hsa:699,hsa:990,424
CDC6,DTL,hsa:990,hsa:10673,766
CDC6,TTK,hsa:990,hsa:7272,429
BIRC5,CDC6,hsa:332,hsa:990,418
CDC6,CHEK1,hsa:990,hsa:1111,431
CDC6,CDCA5,hsa:990,hsa:113130,446
CDC25A,CDC6,hsa:993 hsa:994 hsa:995,hsa:990,434
BUB1B,CDC6,hsa:701,hsa:990,451
FLNA,VCL,hsa:2316,hsa:7414,448
TPM1,VCL,hsa:7168,hsa:7414,417
F2,SERPIND1,hsa:8458,hsa:3053 hsa:462 hsa:5104 hsa:5270,449
ACTN4,MYH9,hsa:81 hsa:87,hsa:4627 hsa:4628 hsa:4629 hsa:79784,404
MYH9,TLN1,hsa:4627 hsa:4628 hsa:4629 hsa:79784,hsa:7094 hsa:83660,707
CAP1,MYH9,hsa:7187 hsa:7188,hsa:4627 hsa:4628 hsa:4629 hsa:79784,425
