protein1,protein1_kegg_id,protein2,protein2_kegg_id,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
NFKBIA,"hsa:4792, hsa:4792 hsa:4793, hsa:4792 hsa:4793 hsa:4794",CDKN2D,hsa:1032,0,0,0,522,0,56,0,0,0,0,0,409,0,710
IBSP,hsa:3381,TNFSF8,hsa:944,0,0,0,469,0,0,0,0,0,0,0,0,0,469
IL4R,hsa:3566,IL21,hsa:59067,0,0,0,468,0,0,0,0,0,650,0,188,0,835
CYP17A1,hsa:1586,CYP7A1,hsa:1581,0,0,0,463,0,47,87,0,0,900,0,396,80,967
RNASEL,hsa:6041,CDKN2D,hsa:1032,0,0,0,461,0,0,0,0,95,0,0,0,42,491
SRSF8,hsa:10929 hsa:6426 hsa:6427 hsa:6428 hsa:6429 hsa:6430 hsa:6431 hsa:6432 hsa:8683,ELAVL1,hsa:1994,0,0,0,460,0,0,86,0,0,0,0,91,48,515
CYP7A1,hsa:1581,CYP27A1,hsa:1593,0,0,0,457,0,0,55,0,0,900,0,945,0,996
RNASEL,hsa:6041,CDKN2C,hsa:1031,0,0,0,456,0,0,0,0,95,0,0,0,42,487
CYP19A1,hsa:1588,CYP7A1,hsa:1581,0,0,0,453,0,0,0,0,49,0,0,247,283,681
CYP7A1,hsa:1581,CYP2A6,hsa:1548 hsa:1549 hsa:1553,0,0,0,451,0,56,106,0,0,0,0,324,80,659
IL12RB2,hsa:3595,BRCA1,hsa:672,0,0,0,447,0,0,0,0,0,0,0,0,0,447
CD72,hsa:971,PECAM1,hsa:5175,0,0,0,445,0,73,0,0,91,0,0,422,41,693
RAET1E,hsa:135250 hsa:154064 hsa:353091,FCAR,hsa:2204,0,0,0,438,0,0,0,0,0,0,0,0,81,461
DNAJB1,hsa:3337,HSPA5,hsa:3309,0,41,0,432,0,55,303,314,142,400,162,622,161,950
KITLG,hsa:4254,TNFSF8,hsa:944,0,0,0,431,0,0,0,0,0,0,0,150,0,495
DNAJB1,hsa:3337,HSPA9,hsa:3313,0,41,0,428,0,84,236,177,142,400,162,728,120,952
IFNL1,hsa:282618,IFNG,hsa:3458,0,0,0,423,0,65,0,0,0,0,0,767,0,863
DNAJB1,hsa:3337,HSPA1A,hsa:3303 hsa:3304 hsa:3305 hsa:3310 hsa:3312,0,41,0,423,0,260,236,0,256,500,162,912,116,989
IL21,hsa:59067,PML,"hsa:5371, hsa:5371 hsa:5914",0,0,0,421,0,42,0,0,0,0,0,0,0,421
GAB1,"hsa:2549, hsa:2549 hsa:9846",NTF3,hsa:4908,0,0,0,419,0,0,0,0,0,0,0,107,71,475
HSD17B1,hsa:3292 hsa:51478,HSD17B2,hsa:3294 hsa:340811 hsa:8644,0,0,0,418,0,0,103,0,0,900,0,986,65,999
GHR,hsa:2690,F3,hsa:1272,0,0,0,411,0,49,0,0,0,0,0,0,0,415
IL21R,hsa:50615,ATF4,hsa:468,0,0,0,410,0,0,0,0,0,0,0,0,0,410
IL21,hsa:59067,ICOS,hsa:29851,0,0,0,410,0,84,120,0,0,0,0,621,116,811
IL4R,hsa:3566,ICOS,hsa:29851,0,0,0,410,0,61,0,0,0,0,0,419,0,650
CYP7A1,hsa:1581,CYP1A1,"hsa:1543 hsa:1545, hsa:1543 hsa:1545 hsa:1557 hsa:1558 hsa:1559 hsa:1562 hsa:1576",0,0,0,408,0,43,110,0,0,900,0,448,80,968
NPPC,hsa:4880,HFE,hsa:3077,0,0,0,406,0,0,0,0,0,0,0,0,0,406
NCR2,hsa:9436,TICAM1,hsa:148022,0,0,0,399,0,47,0,0,0,0,0,0,0,402
PECAM1,hsa:5175,PTAFR,hsa:5724,0,0,0,396,0,190,51,0,91,0,0,447,0,724
F2RL2,hsa:2151 hsa:9002,ATF4,hsa:468,0,0,0,395,0,0,0,0,0,0,0,0,0,395
CYP1A2,hsa:1544,CYP7A1,hsa:1581,0,0,0,394,0,49,172,0,0,900,0,506,80,973
PKIA,hsa:5569,FANCG,hsa:2189,0,0,0,393,0,0,0,0,0,0,0,0,0,393
CD3E,hsa:916,VSIR,hsa:64115,0,0,0,392,0,49,0,0,0,0,0,214,91,531
OPTN,"hsa:10133, hsa:10133 hsa:10241 hsa:23001 hsa:4077 hsa:8878 hsa:8887",SCN1B,hsa:6324 hsa:6330 hsa:6331 hsa:6332,0,0,0,392,0,0,0,0,0,0,0,0,0,392
MICA,hsa:100507436 hsa:4277,PPBP,hsa:5473,0,0,0,390,0,0,0,0,0,0,0,0,0,390
SCN1B,hsa:6324 hsa:6330 hsa:6331 hsa:6332,SEMA4F,hsa:10505 hsa:10507 hsa:10509 hsa:54910 hsa:57715 hsa:64218,0,0,0,388,0,0,0,0,0,0,0,0,0,388
CCL8,hsa:6355,IL13RA2,hsa:3598,0,0,0,387,0,48,58,0,0,0,0,125,48,458
IL2RA,"hsa:3559, hsa:3559 hsa:3560 hsa:3561",IL6R,hsa:3570,0,0,0,384,0,60,86,0,0,0,0,720,0,831
IL18RAP,hsa:8807 hsa:8809,PLAUR,hsa:5329,0,0,0,383,0,60,83,0,0,0,0,0,81,445
TANK,hsa:10010,IL1F10,hsa:84639,0,0,0,380,0,0,0,0,0,0,0,0,50,385
IL12RB2,hsa:3595,INHBA,"hsa:3624, hsa:3624 hsa:3625 hsa:3626 hsa:83729",0,0,0,378,0,0,0,0,0,0,0,87,0,407
VSIR,hsa:64115,IL7R,hsa:3575,0,0,0,376,0,109,0,0,0,0,0,146,65,496
IFNG,hsa:3458,IL12B,hsa:3593,0,0,0,375,0,136,109,0,0,0,0,352,295,740
BHLHE41,hsa:79365 hsa:8553,CXXC4,hsa:80319,0,0,0,375,0,44,0,0,0,0,0,0,0,376
ZYX,hsa:7791,PGR,hsa:5241,0,0,0,370,0,0,0,0,70,0,0,79,0,413
MEFV,hsa:4210,SELPLG,hsa:6404,0,0,0,369,0,63,54,0,71,0,0,125,0,462
THY1,hsa:7070,IL22,hsa:50616,0,0,0,369,0,0,0,0,0,0,0,419,0,617
ARC,"hsa:23237, hsa:8996",PRNP,hsa:5621,0,0,0,368,0,42,55,0,71,0,0,165,44,476
XCR1,hsa:2829,TJAP1,hsa:93643,0,0,0,367,0,0,0,0,0,0,0,0,0,367
GPER1,hsa:2852,HRH1,hsa:3269,0,0,0,364,0,0,0,0,0,0,0,68,50,387
CD27,hsa:939,FANCG,hsa:2189,0,0,0,363,0,42,0,0,0,0,0,0,0,363
CCL11,hsa:6356,IL13RA2,hsa:3598,0,0,0,359,0,53,58,0,0,0,0,352,48,582
IFNL2,"hsa:282616 hsa:282617, hsa:282616 hsa:282617 hsa:282618 hsa:338376 hsa:3439 hsa:3440 hsa:3441 hsa:3442 hsa:3443 hsa:3444 hsa:3445 hsa:3446 hsa:3447 hsa:3448 hsa:3449 hsa:3451 hsa:3452 hsa:3456 hsa:3467 hsa:56832",IFNG,hsa:3458,0,0,0,359,0,42,0,0,0,0,0,598,0,731
IL10RA,hsa:3587 hsa:3588,NPVF,hsa:64111 hsa:8620,0,0,0,358,0,0,0,0,0,0,0,0,0,358
KITLG,hsa:4254,PKIA,hsa:5569,0,0,0,357,0,0,0,0,0,0,0,0,0,357
CIITA,hsa:4261,IL7R,hsa:3575,0,0,0,357,0,82,141,0,0,0,0,259,0,574
CCR10,"hsa:2826, hsa:51554",NODAL,hsa:4838,0,0,0,357,0,0,55,0,69,0,0,0,0,384
CCL11,hsa:6356,PPP1R1B,hsa:84152,0,0,0,356,0,42,0,0,0,0,0,0,0,356
