"pathway_id","node1_kegg_id","node1_symbol","node1_type","node1_entry_id","node2_kegg_id","node2_symbol","node2_type","node2_entry_id","relation_type","subtype_1_name","subtype_1_value","subtype_2_name","subtype_2_value","subtype_3_name","subtype_3_value","ExperimentScore","CoexpressionScore"
"hsa03320","undefined","","group",79,"hsa:3157 hsa:3158","HMGCS1, HMGCS...","gene",48,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:335","APOA1, AMYLD3, HPALP2, apo(a)","gene",72,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:336","APOA2, Apo-AII, ApoA-II, apoAII","gene",57,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:345","APOC3, APOCIII, Apo-C3, ApoC-3","gene",68,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:116519","APOA5, APOAV, RAP3","gene",75,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:5360","PLTP, BPIFE, HDLCQ9","gene",58,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:10873 hsa:4199","ME3, NADP-ME...","gene",76,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:6319 hsa:79966","SCD, FADS5, MSTP008, SCD1, SCDOS, hSCD1...","gene",66,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:9415","FADS2, D6D, DES6, FADSD6, LLCDL2, SLL0262, TU13","gene",67,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:1581","CYP7A1, CP7A, CYP7, CYPVII","gene",44,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:1582","CYP8B1, CP8B, CYP12, CYPVIIIB1","gene",69,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:10062","NR1H3, LXR-a, LXRA, RLD-1","gene",70,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:1622","DBI, ACBD1, ACBP, CCK-RP, EP","gene",74,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:2168","FABP1, FABPL, L-FABP","gene",55,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:10999 hsa:376497","SLC27A4, ACSVL4, FATP4, IPS...","gene",47,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:4023","LPL, HDLCQ11, LIPD","gene",41,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:2180 hsa:2181 hsa:2182 hsa:23205 hsa:23305 hsa:51703 hsa:81616","ACSL1, ACS1, FACL1, FACL2, LACS, LACS1, LACS2...","gene",39,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:1962","EHHADH, ECHD, FRTS3, L-PBE, LBFP, LBP, MFE1, PBFE","gene",36,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:30","ACAA1, ACAA, Lnc-Myd88, PTHIO, THIO","gene",32,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:6342","SCP2, NLTP, NSL-TP, SCOX, SCP-2, SCP-CHI, SCP-X, SCPX","gene",31,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:51 hsa:8309 hsa:8310","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","gene",53,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:126129 hsa:1374 hsa:1375","CPT1C, CATL1, CPT_I-C, CPT1-B, CPT1P, CPTI-B, CPTIC, SPG73...","gene",38,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:1376","CPT2, CPT1, CPTASE, IIAE4","gene",37,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:34","ACADM, ACAD1, MCAD, MCADH","gene",33,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:51129","ANGPTL4, ARP4, FIAF, HARP, HFARP, NL2, PGAR, TGQTL, UNQ171, pp1158","gene",52,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",79,"hsa:7350","UCP1, SLC25A7, UCP","gene",77,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:2170","FABP3, FABP11, H-FABP, M-FABP, MDGI, O-FABP","gene",43,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:126129 hsa:1374 hsa:1375","CPT1C, CATL1, CPT_I-C, CPT1-B, CPT1P, CPTI-B, CPTIC, SPG73...","gene",38,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:33","ACADL, ACAD4, LCAD","gene",34,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:4023","LPL, HDLCQ11, LIPD","gene",41,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:51 hsa:8309 hsa:8310","ACOX1, ACOX, AOX, MITCH, PALMCOX, SCOX...","gene",53,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:51129","ANGPTL4, ARP4, FIAF, HARP, HFARP, NL2, PGAR, TGQTL, UNQ171, pp1158","gene",52,"GErel","expression","-->","","","","",0,0
"hsa03320","undefined","","group",80,"hsa:7350","UCP1, SLC25A7, UCP","gene",77,"GErel","expression","-->","","","","",0,0
