path:hsa04010	MAPK_signaling_pathway
path:hsa04012	ErbB_signaling_pathway
path:hsa04014	Ras_signaling_pathway
path:hsa04015	Rap1_signaling_pathway
path:hsa04020	Calcium_signaling_pathway
path:hsa04022	cGMP-PKG_signaling_pathway
path:hsa04024	cAMP_signaling_pathway
path:hsa04060	Cytokine-cytokine_receptor_interaction
path:hsa04062	Chemokine_signaling_pathway
path:hsa04064	NF-kappa_B_signaling_pathway
path:hsa04066	HIF-1_signaling_pathway
path:hsa04068	FoxO_signaling_pathway
path:hsa04110	Cell_cycle
path:hsa04114	Oocyte_meiosis
path:hsa04115	p53_signaling_pathway
path:hsa04140	Regulation_of_autophagy
path:hsa04150	mTOR_signaling_pathway
path:hsa04151	PI3K-Akt_signaling_pathway
path:hsa04152	AMPK_signaling_pathway
path:hsa04210	Apoptosis
path:hsa04261	Adrenergic_signaling_in_cardiomyocytes
path:hsa04310	Wnt_signaling_pathway
path:hsa04330	Notch_signaling_pathway
path:hsa04360	Axon_guidance
path:hsa04370	VEGF_signaling_pathway
path:hsa04380	Osteoclast_differentiation
path:hsa04510	Focal_adhesion
path:hsa04512	ECM-receptor_interaction
path:hsa04540	Gap_junction
path:hsa04550	Signaling_pathways_regulating_pluripotency_of_stem_cells
path:hsa04611	Platelet_activation
path:hsa04612	Antigen_processing_and_presentation
path:hsa04620	Toll-like_receptor_signaling_pathway
path:hsa04621	NOD-like_receptor_signaling_pathway
path:hsa04622	RIG-I-like_receptor_signaling_pathway
path:hsa04623	Cytosolic_DNA-sensing_pathway
path:hsa04630	Jak-STAT_signaling_pathway
path:hsa04650	Natural_killer_cell_mediated_cytotoxicity
path:hsa04660	T_cell_receptor_signaling_pathway
path:hsa04662	B_cell_receptor_signaling_pathway
path:hsa04664	Fc_epsilon_RI_signaling_pathway
path:hsa04666	Fc_gamma_R-mediated_phagocytosis
path:hsa04668	TNF_signaling_pathway
path:hsa04670	Leukocyte_transendothelial_migration
path:hsa04713	Circadian_entrainment
path:hsa04720	Long-term_potentiation
path:hsa04722	Neurotrophin_signaling_pathway
path:hsa04723	Retrograde_endocannabinoid_signaling
path:hsa04725	Cholinergic_synapse
path:hsa04726	Serotonergic_synapse
path:hsa04728	Dopaminergic_synapse
path:hsa04730	Long-term_depression
path:hsa04740	Olfactory_transduction
path:hsa04750	Inflammatory_mediator_regulation_of_TRP_channels
path:hsa04810	Regulation_of_actin_cytoskeleton
path:hsa04910	Insulin_signaling_pathway
path:hsa04911	Insulin_secretion
path:hsa04912	GnRH_signaling_pathway
path:hsa04913	Ovarian_steroidogenesis
path:hsa04914	Progesterone-mediated_oocyte_maturation
path:hsa04915	Estrogen_signaling_pathway
path:hsa04916	Melanogenesis
path:hsa04917	Prolactin_signaling_pathway
path:hsa04918	Thyroid_hormone_synthesis
path:hsa04919	Thyroid_hormone_signaling_pathway
path:hsa04920	Adipocytokine_signaling_pathway
path:hsa04921	Oxytocin_signaling_pathway
path:hsa04930	Type_II_diabetes_mellitus
path:hsa04932	Non-alcoholic_fatty_liver_disease_(NAFLD)
path:hsa04960	Aldosterone-regulated_sodium_reabsorption
path:hsa04962	Vasopressin-regulated_water_reabsorption
path:hsa04970	Salivary_secretion
path:hsa05010	Alzheimer's_disease
path:hsa05012	Parkinson's_disease
path:hsa05014	Amyotrophic_lateral_sclerosis_(ALS)
path:hsa05020	Prion_diseases
path:hsa05031	Amphetamine_addiction
path:hsa05034	Alcoholism
path:hsa05100	Bacterial_invasion_of_epithelial_cells
path:hsa05120	Epithelial_cell_signaling_in_Helicobacter_pylori_infection
path:hsa05130	Pathogenic_Escherichia_coli_infection
path:hsa05131	Shigellosis
path:hsa05132	Salmonella_infection
path:hsa05133	Pertussis
path:hsa05142	Chagas_disease_(American_trypanosomiasis)
path:hsa05143	African_trypanosomiasis
path:hsa05145	Toxoplasmosis
path:hsa05146	Amoebiasis
path:hsa05152	Tuberculosis
path:hsa05160	Hepatitis_C
path:hsa05161	Hepatitis_B
path:hsa05162	Measles
path:hsa05164	Influenza_A
path:hsa05166	HTLV-I_infection
path:hsa05168	Herpes_simplex_infection
path:hsa05169	Epstein-Barr_virus_infection
path:hsa05200	Pathways_in_cancer
path:hsa05205	Proteoglycans_in_cancer
path:hsa05210	Colorectal_cancer
path:hsa05211	Renal_cell_carcinoma
path:hsa05212	Pancreatic_cancer
path:hsa05213	Endometrial_cancer
path:hsa05214	Glioma
path:hsa05215	Prostate_cancer
path:hsa05216	Thyroid_cancer
path:hsa05217	Basal_cell_carcinoma
path:hsa05218	Melanoma
path:hsa05220	Chronic_myeloid_leukemia
path:hsa05221	Acute_myeloid_leukemia
path:hsa05222	Small_cell_lung_cancer
path:hsa05223	Non-small_cell_lung_cancer
path:hsa05321	Inflammatory_bowel_disease_(IBD)
path:hsa05416	Viral_myocarditis
